TE;NP;NU;Код об’єкта Кодифікатора;Категорія об’єкта Кодифікатора;Назва об’єкта Кодифікатора
0100000000;;АВТОНОМНА РЕСПУБЛІКА КРИМ/М.СІМФЕРОПОЛЬ;UA01000000000013043;О;Автономна Республіка Крим
0110000000;;МІСТА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ;UA01000000000013043;О;Автономна Республіка Крим
0110100000;;СІМФЕРОПОЛЬ;UA01160330010074014;M;Сімферополь
0110130000;;РАЙОНИ М.СІМФЕРОПОЛЯ;UA01160330000011827;Н;Сімферопольська 
0110136300;Р;ЗАЛІЗНИЧНИЙ;UA01160330010143565;В;Залізничний
0110136600;Р;КИЇВСЬКИЙ;UA01160330010252081;В;Київський
0110136900;Р;ЦЕНТРАЛЬНИЙ;UA01160330010375460;В;Центральний
0110165000;;СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ ЗАЛІЗНИЧНІЙ РАЙРАДІ М.СІМФЕРОПОЛЯ;UA01160330000011827;Н;Сімферопольська 
0110165300;Т;АЕРОФЛОТСЬКИЙ;UA01160030020068769;Т;Аерофлотський
0110165600;Т;ГРЕСІВСЬКИЙ;UA01160030010065261;T;Гресівський
0110165601;Щ;БІТУМНЕ;UA01160030040035013;Х;Бітумне
0110165800;Т;КОМСОМОЛЬСЬКЕ;UA01160030030037634;Т;Бакачик-Кият
0110166000;;СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ КИЇВСЬКІЙ РАЙРАДІ М.СІМФЕРОПОЛЯ;UA01160330000011827;Н;Сімферопольська 
0110166200;Т;АГРАРНЕ;UA01160330020049936;Т;Аграрне
0110300000;М;АЛУШТА;UA01200030010082401;M;Алушта
0110345000;;СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ АЛУШТИНСЬКІЙ МІСЬКРАДІ;UA01200030000060465;Н;Алуштинська 
0110345400;Т;ПАРТЕНІТ;UA01200230010050709;T;Партеніт
0110390000;;СІЛЬРАДИ, ПІДПОРЯДКОВАНІ АЛУШТИНСЬКІЙ МІСЬКРАДІ;UA01200030000060465;Н;Алуштинська 
0110390900;;ІЗОБІЛЬНЕНСЬКА/С.ІЗОБІЛЬНЕ;UA01200090000032958;Н;Ізобільненська 
0110390901;С;ІЗОБІЛЬНЕ;UA01200090010047536;С;Ізобільне
0110390903;С;ВЕРХНЯ КУТУЗОВКА;UA01200090020081230;С;Верхня Кутузовка
0110390905;С;НИЖНЯ КУТУЗОВКА;UA01200090030056893;С;Нижня Кутузовка
0110390907;Щ;РОЗОВИЙ;UA01200090040079531;Х;Розовий
0110391400;;ЛУЧИСТІВСЬКА/С.ЛУЧИСТЕ;UA01200150000013797;Н;Лучистівська 
0110391401;С;ЛУЧИСТЕ;UA01200150010085645;С;Лучисте
0110391403;Щ;ЛАВАНДА;UA01200150020038314;Х;Лаванда
0110391405;Щ;СЕМИДВІР'Я;UA01200150030078397;Х;Семидвір’я
0110391800;;МАЛОМАЯЦЬКА/С.МАЛИЙ МАЯК;UA01200170000021064;Н;Маломаяцька 
0110391801;С;МАЛИЙ МАЯК;UA01200170010099136;С;Малий Маяк
0110391802;Щ;БОНДАРЕНКОВЕ;UA01200170090073548;Х;Бондаренкове
0110391803;С;ВИНОГРАДНИЙ;UA01200170020092589;С;Виноградний
0110391805;С;ЗАПРУДНЕ;UA01200170030025303;С;Запрудне
0110391807;С;КИПАРИСНЕ;UA01200170040038217;С;Кипарисне
0110391809;С;ЛАВРОВЕ;UA01200170050041494;С;Лаврове
0110391811;С;ЛАЗУРНЕ;UA01200170060079849;С;Лазурне
0110391813;С;НИЖНЄ ЗАПРУДНЕ;UA01200170070085494;С;Нижнє Запрудне
0110391815;С;ПУШКІНЕ;UA01200170080036407;С;Пушкіне
0110391817;Щ;УТЬОС;UA01200170100065442;Х;Утьос
0110391818;Щ;ЧАЙКА;UA01200170110036780;Х;Чайка
0110392100;;МАЛОРІЧЕНСЬКА/С.МАЛОРІЧЕНСЬКЕ;UA01200190000067573;Н;Малоріченська 
0110392101;С;МАЛОРІЧЕНСЬКЕ;UA01200190010065021;С;Малоріченське
0110392103;С;ГЕНЕРАЛЬСЬКЕ;UA01200190020039617;С;Генеральське
0110392105;С;РИБАЧЕ;UA01200190030021027;С;Рибаче
0110392107;С;СОНЯЧНОГІРСЬКЕ;UA01200190040010230;С;Сонячногірське
0110393000;;ПРИВІТНЕНСЬКА/С.ПРИВІТНЕ;UA01200250000065451;Н;Привітненська 
0110393001;С;ПРИВІТНЕ;UA01200250010027973;С;Привітне
0110393002;С;ЗЕЛЕНОГІР'Я;UA01200250020029195;С;Зеленогір’я
0110600000;М;ДЖАНКОЙ;UA01060050010078305;M;Джанкой
0110900000;М;ЄВПАТОРІЯ;UA01080150010090810;M;Євпаторія 
0110945000;;СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ ЄВПАТОРІЙСЬКІЙ МІСЬКРАДІ;UA01080150000090077;Н;Євпаторійська 
0110945300;Т;ЗАОЗЕРНЕ;UA01080170010046248;T;Заозерне
0110945600;Т;МИРНИЙ;UA01080390010079538;T;Мирний
0110945800;Т;НОВООЗЕРНЕ;UA01080490010081920;T;Новоозерне
0111200000;М;КЕРЧ;UA01100210010057785;M;Керч
0111300000;М;КРАСНОПЕРЕКОПСЬК;UA01140230010018772;M;Яни Капу
0111400000;М;САКИ;UA01080650010078157;M;Саки
0111500000;М;АРМЯНСЬК;UA01140010010085478;M;Армянськ
0111590000;;СІЛЬРАДИ, ПІДПОРЯДКОВАНІ АРМЯНСЬКІЙ МІСЬКРАДІ;UA01140010000036312;Н;Армянська 
0111590100;;СУВОРОВСЬКА/С.СУВОРОВЕ;UA01140490000062402;Н;Суворовська 
0111590101;С;СУВОРОВЕ;UA01140490010050825;С;Суворове
0111590102;С;ВОЛОШИНЕ;UA01140490020089244;С;Волошине
0111590103;С;ПЕРЕКОП;UA01140490030098512;С;Перекоп
0111600000;М;Феодосія;UA01180710010062019;M;Феодосія
0111645000;;СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ ФЕОДОСІЙСЬКІЙ МІСЬКРАДІ;UA01180710000095057;Н;Феодосійська 
0111645200;Т;КУРОРТНЕ;UA01180770020090437;Т;Курортне
0111645400;Т;ОРДЖОНІКІДЗЕ;UA01180430010021718;T;Кайгадор
0111645700;Т;КОКТЕБЕЛЬ;UA01180250010028527;T;Коктебель
0111645701;С;НАНІКОВЕ;UA01180250020034315;С;Нанікове
0111646000;Т;ПРИМОРСЬКИЙ;UA01180510010032534;T;Приморський
0111646500;Т;ЩЕБЕТОВКА;UA01180770010076616;T;Щебетовка
0111646501;С;КРАСНОКАМ'ЯНКА;UA01180770030041845;С;Краснокам’янка
0111690000;;СІЛЬРАДИ, ПІДПОРЯДКОВАНІ ФЕОДОСІЙСЬКІЙ МІСЬКРАДІ;UA01180710000095057;Н;Феодосійська 
0111690300;;БЕРЕГОВА/С.БЕРЕГОВЕ;UA01180030000066539;Н;Берегова 
0111690301;С;БЕРЕГОВЕ;UA01180030010063144;С;Берегове
0111690303;С;СТЕПОВЕ;UA01180030020052759;С;Степове
0111692900;;НАСИПНІВСЬКА/С.НАСИПНЕ;UA01180370000034421;Н;Насипнівська 
0111692901;С;НАСИПНЕ;UA01180370010068561;С;Насипне
0111692903;С;БЛИЖНЄ;UA01180370020044453;С;Ближнє
0111692905;С;ВИНОГРАДНЕ;UA01180370030078808;С;Виноградне
0111692907;С;ПІДГІРНЕ;UA01180370050086783;С;Підгірне
0111692909;С;ПІОНЕРСЬКЕ;UA01180370040030485;С;Герценберг
0111692911;С;СОНЯЧНЕ;UA01180370060093473;С;Сонячне
0111692913;С;ЮЖНЕ;UA01180370070014489;С;Южне
0111700000;М;СУДАК;UA01180650010079746;M;Судак
0111745000;;СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ СУДАЦЬКІЙ МІСЬКРАДІ;UA01180650000087957;Н;Судацька 
0111745200;Т;НОВИЙ СВІТ;UA01180410010055787;T;Новий Світ
0111790000;;СІЛЬРАДИ, ПІДПОРЯДКОВАНІ СУДАЦЬКІЙ МІСЬКРАДІ;UA01180650000087957;Н;Судацька 
0111790200;;ВЕСЕЛІВСЬКА/С.ВЕСЕЛЕ;UA01180050000061143;Н;Веселівська 
0111790201;С;ВЕСЕЛЕ;UA01180050010069858;С;Веселе
0111790400;;ГРУШІВСЬКА/С.ГРУШІВКА;UA01180090000097181;Н;Грушівська 
0111790401;С;ГРУШІВКА;UA01180090010097351;С;Грушівка
0111790402;С;ПЕРЕВАЛІВКА;UA01180090020095987;С;Перевалівка
0111790403;С;ХОЛОДІВКА;UA01180090030013395;С;Холодівка
0111790700;;ДАЧНІВСЬКА/С.ДАЧНЕ;UA01180110000051412;Н;Дачнівська 
0111790701;С;ДАЧНЕ;UA01180110010062166;С;Дачне
0111790702;С;ЛІСНЕ;UA01180110020019983;С;Лісне
0111791400;;МІЖРІЧЕНСЬКА/С.МІЖРІЧЧЯ;UA01180330000036926;Н;Міжріченська 
0111791401;С;МІЖРІЧЧЯ;UA01180330010093684;С;Міжріччя
0111791402;С;ВОРОН;UA01180330020010446;С;Ворон
0111791600;;МОРСЬКА/С.МОРСЬКЕ;UA01180350000095618;Н;Морська 
0111791601;С;МОРСЬКЕ;UA01180350010011441;С;Морське
0111791602;С;ГРОМІВКА;UA01180350020034816;С;Громівка
0111792300;;СОНЯЧНОДОЛИНСЬКА/С.СОНЯЧНА ДОЛИНА;UA01180610000060531;Н;Сонячнодолинська 
0111792301;С;СОНЯЧНА ДОЛИНА;UA01180610010066885;С;Сонячна Долина
0111792302;С;БАГАТІВКА;UA01180610020035092;С;Багатівка
0111792303;С;МИНДАЛЬНЕ;UA01180610030017383;С;Миндальне
0111792304;С;ПРИБЕРЕЖНЕ;UA01180610040077904;С;Прибережне
0111900000;М;ЯЛТА;UA01200310010053783;M;Ялта
0111945000;;СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ ЯЛТИНСЬКІЙ МІСЬКРАДІ;UA01200310000097903;Н;Ялтинська 
0111945200;Т;БЕРЕГОВЕ;UA01200270020097082;Т;Берегове
0111945400;Т;НІКІТА;UA01200210050032694;Т;Нікіта
0111945600;Т;ВИНОГРАДНЕ;UA01200130020054332;Т;Виноградне
0111945900;Т;ВОСХОД;UA01200210030026825;Т;Восход
0111946200;Т;ГАСПРА;UA01200050010051469;T;Гаспра
0111946500;Т;ГОЛУБА ЗАТОКА;UA01200270030090294;Т;Голуба Затока
0111946800;Т;ГУРЗУФ;UA01200070010094797;T;Гурзуф
0111946801;Щ;ДАНИЛІВКА;UA01200070030099304;Х;Данилівка
0111946803;Щ;ЛІНІЙНЕ;UA01200070040060460;Х;Лінійне
0111946805;Щ;ПАРТИЗАНСЬКЕ;UA01200070050059586;Х;Партизанське
0111947000;Т;КАЦІВЕЛІ;UA01200270040095864;Т;Кацівелі
0111947100;Т;КОРЕЇЗ;UA01200110010025305;T;Кореїз
0111947400;Т;КРАСНОКАМ'ЯНКА;UA01200070020040385;Т;Краснокам’янка
0111947700;Т;КУРПАТИ;UA01200130030013528;Т;Курпати
0111947900;Т;ЛІВАДІЯ;UA01200130010034415;T;Лівадія
0111947901;Щ;ВИСОКОГІРНЕ;UA01200130050018479;Х;Високогірне
0111947903;Щ;ГІРНЕ;UA01200130060046641;Х;Гірне
0111947905;Щ;КУЙБИШЕВЕ;UA01200130070034419;Х;Ісар
0111947907;Щ;ОХОТНИЧЕ;UA01200130080018271;Х;Охотниче
0111948100;Т;МАСАНДРА;UA01200210010078894;T;Масандра
0111948300;Т;ОРЕАНДА;UA01200130040083175;Т;Ореанда
0111948500;Т;ВІДРАДНЕ;UA01200210020027504;Т;Відрадне
0111948700;Т;ПАРКОВЕ;UA01200270050040024;Т;Паркове
0111948900;Т;ПОНИЗІВКА;UA01200270060060495;Т;Понизівка
0111949100;Т;САНАТОРНЕ;UA01200290020021637;Т;Санаторне
0111949300;Т;СІМЕЇЗ;UA01200270010034991;T;Сімеїз
0111949301;С;ОПОЛЗНЕВЕ;UA01200270070073760;С;Оползневе
0111949500;Т;СОВЄТСЬКЕ;UA01200210040055601;Т;Долосси
0111949700;Т;ФОРОС;UA01200290010052206;T;Форос
0111949701;Щ;ОЛИВА;UA01200290030068569;Х;Олива
0111970000;;МІСТА, ПІДПОРЯДКОВАНІ ЯЛТИНСЬКІЙ МІСЬКРАДІ;UA01200290030068569;Х;Олива
0111970200;М;АЛУПКА;UA01200010010092886;M;Алупка
0120000000;;РАЙОНИ АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ;UA01000000000013043;О;Автономна Республіка Крим
0120400000;;БАХЧИСАРАЙСЬКИЙ РАЙОН/М.БАХЧИСАРАЙ;UA01020000000022387;Р;Бахчисарайський
0120410000;;МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ БАХЧИСАРАЙСЬКОГО Р-НУ;UA01020000000022387;Р;Бахчисарайський
0120410100;М;БАХЧИСАРАЙ;UA01020050010045207;M;Бахчисарай
0120445000;;СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ БАХЧИСАРАЙСЬКІЙ МІСЬКРАДІ;UA01020050000056842;Н;Бахчисарайська 
0120445100;Т;НАУЧНИЙ;UA01020050020067441;Т;Научний
0120455000;;СЕЛИЩА МІСЬКОГО ТИПУ БАХЧИСАРАЙСЬКОГО Р-НУ;UA01020000000022387;Р;Бахчисарайський
0120455300;Т;КУЙБИШЕВЕ;UA01020290010096881;T;Албат
0120455301;С;ВЕЛИКЕ САДОВЕ;UA01020290020050353;С;Велике Садове
0120455302;С;ВИСОКЕ;UA01020290030054725;С;Високе
0120455303;С;МАЛЕ САДОВЕ;UA01020290040021024;С;Мале Садове
0120455304;С;НОВОУЛЬЯНІВКА;UA01020290050070320;С;Отарчик
0120455305;С;ТАНКОВЕ;UA01020290060054662;С;Танкове
0120455600;Т;ПОШТОВЕ;UA01020370010082919;T;Поштове
0120455601;С;ЗАВІТНЕ;UA01020370020017519;С;Завітне
0120455602;С;ЗУБАКІНЕ;UA01020370030073511;С;Зубакіне
0120455603;С;КАЗАНКИ;UA01020370040066972;С;Казанки
0120455604;С;МАЛИНІВКА;UA01020370050048874;С;Малинівка
0120455605;С;НОВОВАСИЛІВКА;UA01020370060014747;С;Нововасилівка
0120455606;С;НОВОПАВЛІВКА;UA01020370070047245;С;Новопавлівка
0120455607;С;ПРИЯТНЕ СВІДАННЯ;UA01020370080064174;С;Приятне Свідання
0120455608;С;РОСТУЧЕ;UA01020370090059007;С;Ростуче
0120455609;С;САМОХВАЛОВЕ;UA01020370100079082;С;Самохвалове
0120455610;С;СЕВАСТЯНІВКА;UA01020370110050872;С;Севастянівка
0120455611;Щ;СТАЛЬНЕ;UA01020370130021249;Х;Стальне
0120455612;С;ТОПОЛІ;UA01020370120034950;С;Тополі
0120480000;;СІЛЬРАДИ БАХЧИСАРАЙСЬКОГО Р-НУ;UA01020000000022387;Р;Бахчисарайський
0120480400;;АРОМАТНЕВСЬКА/С.АРОМАТНЕ;UA01020030000085835;Н;Ароматненська 
0120480401;С;АРОМАТНЕ;UA01020030010043419;С;Ароматне
0120480402;С;ВІКТОРІВКА;UA01020030020095516;С;Вікторівка
0120480403;С;МАЛОВИДНЕ;UA01020030030055891;С;Маловидне
0120480404;С;РЄПІНЕ;UA01020030040087481;С;Рєпіне
0120480405;С;РОЗОВЕ;UA01020030050049624;С;Розове
0120480800;;ВЕРХОРІЧЕНСЬКА/С.ВЕРХОРІЧЧЯ;UA01020090000085519;Н;Верхоріченська 
0120480801;С;ВЕРХОРІЧЧЯ;UA01020090010083010;С;Верхоріччя
0120480802;С;БАШТАНІВКА;UA01020090020067096;С;Баштанівка
0120480803;С;КУДРИНЕ;UA01020090030041920;С;Кудрине
0120480804;С;МАШИНЕ;UA01020090040049851;С;Машине
0120480806;С;ПЕРЕДУЩЕЛЬНЕ;UA01020090050034207;С;Передущельне
0120480807;С;СИНАПНЕ;UA01020090060030677;С;Синапне
0120481300;;ВІЛІНСЬКА/С.ВІЛІНЕ;UA01020110000025392;Н;Вілінська 
0120481301;С;ВІЛІНЕ;UA01020110010021583;С;Віліне
0120481302;С;РОЗСАДНЕ;UA01020110020095792;С;Розсадне
0120481900;;ГОЛУБИНСЬКА/С.ГОЛУБИНКА;UA01020130000011846;Н;Голубинська 
0120481901;С;ГОЛУБИНКА;UA01020130010087113;С;Голубинка
0120481902;С;АРОМАТ;UA01020130020090866;С;Аромат
0120481903;С;БАГАТА УЩЕЛИНА;UA01020130030030071;С;Багата Ущелина
0120481904;С;НИЖНЯ ГОЛУБИНКА;UA01020130040048667;С;Нижня Голубинка
0120481905;С;НОВОПІЛЛЯ;UA01020130050032578;С;Новопілля
0120481906;С;ПОЛЯНА;UA01020130060054004;С;Поляна
0120481907;С;ПУТИЛІВКА;UA01020130070069789;С;Путилівка
0120481908;С;СОКОЛИНЕ;UA01020130080078137;С;Соколине
0120481909;С;СОНЯЧНОСІЛЛЯ;UA01020130090090603;С;Сонячносілля
0120482200;;ДОЛИННЕНСЬКА/С.ДОЛИННЕ;UA01020150000013553;Н;Долинненська 
0120482201;С;ДОЛИННЕ;UA01020150010060092;С;Долинне
0120482202;С;НОВЕНЬКЕ;UA01020150030038136;С;Новеньке
0120482203;С;ФУРМАНОВКА;UA01020150020085470;С;Актачи
0120482500;;ЗАЛІЗНИЧНЕНСЬКА/С.ЗАЛІЗНИЧНЕ;UA01020170000026113;Н;Залізничненська 
0120482501;С;ЗАЛІЗНИЧНЕ;UA01020170010043902;С;Залізничне
0120482502;С;БІЛОКАМ'ЯНЕ;UA01020170020089142;С;Білокам’яне
0120482503;С;ДАЧНЕ;UA01020170030079411;С;Дачне
0120482504;С;МОСТОВЕ;UA01020170040066352;С;Мостове
0120482505;С;РІЧНЕ;UA01020170050089604;С;Річне
0120482506;Щ;СИРЕНЬ;UA01020170070056496;Х;Сирень
0120482507;С;ТУРГЕНЄВКА;UA01020170060067566;С;Тургенєвка
0120482900;;ЗЕЛЕНІВСЬКА/С.ЗЕЛЕНЕ;UA01020190000077808;Н;Зеленівська 
0120482901;С;ЗЕЛЕНЕ;UA01020190010051671;С;Зелене
0120482902;С;БОГАТИР;UA01020190020045232;С;Богатир
0120482903;С;МНОГОРІЧЧЯ;UA01020190030083840;С;Многоріччя
0120482904;С;НАГІРНЕ;UA01020190040049837;С;Нагірне
0120482905;С;ПЛОТИННЕ;UA01020190050073256;С;Плотинне
0120482906;С;ЩАСЛИВЕ;UA01020190060074109;С;Щасливе
0120483600;;КАШТАНІВСЬКА/С.КАШТАНИ;UA01020250000083187;Н;Каштанівська 
0120483601;С;КАШТАНИ;UA01020250010041753;С;Каштани
0120483602;С;ВІДРАДНЕ;UA01020250020012476;С;Відрадне
0120483603;С;КОЧЕРГІНЕ;UA01020250030075002;С;Кочергіне
0120483604;С;ШЕВЧЕНКОВЕ;UA01020250040058984;С;Шевченкове
0120483900;;КРАСНОМАЦЬКА/С.КРАСНИЙ МАК;UA01020270000095791;Н;Красномацька 
0120483901;С;КРАСНИЙ МАК;UA01020270010094080;С;Красний Мак
0120483902;С;ЗАЛІСНЕ;UA01020270020068295;С;Залісне
0120483903;С;ХОЛМІВКА;UA01020270040076507;С;Холмівка
0120483905;С;ХОДЖА САЛА;UA01020270030032403;С;Ходжа Сала
0120484400;;ПІЩАНІВСЬКА/С.ПІЩАНЕ;UA01020330000026857;Н;Піщанівська 
0120484401;С;ПІЩАНЕ;UA01020330010077491;С;Піщане
0120484402;С;БЕРЕГОВЕ;UA01020330020049762;С;Берегове
0120484600;;ПЛОДІВСЬКА/С.ПЛОДОВЕ;UA01020350000012924;Н;Плодівська 
0120484601;С;ПЛОДОВЕ;UA01020350010083152;С;Плодове
0120484602;С;БРЯНСЬКЕ;UA01020350020055481;С;Брянське
0120484603;С;ГІРКА;UA01020350030066553;С;Гірка
0120484604;С;ДІБРІВКА;UA01020350040061533;С;Дібрівка
0120484605;С;ДОРОЖНЄ;UA01020350050012107;С;Дорожнє
0120485000;;СКАЛИСТІВСЬКА/С.СКАЛИСТЕ;UA01020390000023946;Н;Скалистівська 
0120485001;С;СКАЛИСТЕ;UA01020390010087353;С;Скалисте
0120485002;С;ГЛИБОКИЙ ЯР;UA01020390020089381;С;Глибокий Яр
0120485003;С;ПРОХЛАДНЕ;UA01020390030068062;С;Прохладне
0120485004;С;ТРУДОЛЮБІВКА;UA01020390040022064;С;Трудолюбівка
0120485500;;ТАБАЧНЕНСЬКА/С.ТАБАЧНЕ;UA01020410000012183;Н;Табачненська 
0120485501;С;ТАБАЧНЕ;UA01020410010079227;С;Табачне
0120486200;;ТІНИСТІВСЬКА/С.ТІНИСТЕ;UA01020450000039196;Н;Тінистівська 
0120486201;С;ТІНИСТЕ;UA01020450010047517;С;Тінисте
0120486202;С;АЙВОВЕ;UA01020450020080220;С;Айвове
0120486203;С;КРАСНА ЗОРЯ;UA01020450030044282;С;Красна Зоря
0120486204;С;НЕКРАСОВКА;UA01020450040029353;С;Некрасовка
0120486205;С;СУВОРОВЕ;UA01020450050043908;С;Суворове
0120488400;;УГЛІВСЬКА/С.УГЛОВЕ;UA01020470000045027;Н;Углівська 
0120488401;С;УГЛОВЕ;UA01020470010027281;С;Углове
0120700000;;БІЛОГІРСЬКИЙ РАЙОН/М.БІЛОГІРСЬК;UA01040000000069938;Р;Білогірський
0120710000;;МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ БІЛОГІРСЬКОГО Р-НУ;UA01040000000069938;Р;Білогірський
0120710100;М;БІЛОГІРСЬК;UA01040050010076142;M;Білогірськ
0120755000;;СЕЛИЩА МІСЬКОГО ТИПУ БІЛОГІРСЬКОГО Р-НУ;UA01040000000069938;Р;Білогірський
0120755300;Т;ЗУЯ;UA01040250010020392;T;Зуя
0120755301;С;БАЛАНОВЕ;UA01040250020020123;С;Баланове
0120755302;С;БАРАБАНОВЕ;UA01040250030052860;С;Барабанове
0120755303;С;ВЕРХНІ ОРІШНИКИ;UA01040250040026169;С;Верхні Орішники
0120755305;С;ВОЛОДИМИРІВКА;UA01040250050018337;С;Володимирівка
0120755307;С;ЛИТВИНЕНКОВЕ;UA01040250060026796;С;Литвиненкове
0120755308;С;НИЖНІ ОРІШНИКИ;UA01040250070076047;С;Нижні Орішники
0120755309;С;ПЕТРОВЕ;UA01040250080068374;С;Петрове
0120755310;С;УКРАЇНКА;UA01040250090083925;С;Українка
0120780000;;СІЛЬРАДИ БІЛОГІРСЬКОГО Р-НУ;UA01040000000069938;Р;Білогірський
0120780400;;АРОМАТНІВСЬКА/С.АРОМАТНЕ;UA01040010000012643;Н;Ароматнівська 
0120780401;С;АРОМАТНЕ;UA01040010010075410;С;Ароматне
0120780402;С;КРАСНОГІРСЬКЕ;UA01040010020047319;С;Красногірське
0120780403;С;КУРОРТНЕ;UA01040010030032536;С;Курортне
0120780800;;БАГАТІВСЬКА/С.БАГАТЕ;UA01040030000094499;Н;Багатівська 
0120780801;С;БАГАТЕ;UA01040030010054698;С;Багате
0120780802;С;ГОРЛИНКА;UA01040030020054426;С;Горлинка
0120780803;С;КРАСНА СЛОБОДА;UA01040030030079308;С;Красна Слобода
0120780804;С;МЕЛЕХОВЕ;UA01040030040031736;С;Мелехове
0120780805;С;ПОВОРОТНЕ;UA01040030050078807;С;Поворотне
0120780806;С;РУСЬКЕ;UA01040030060066182;С;Руське
0120780807;С;ЧЕРЕМИСІВКА;UA01040030070095548;С;Черемисівка
0120781300;;ВАСИЛІВСЬКА/С.ВАСИЛІВКА;UA01040070000067477;Н;Василівська 
0120781301;С;ВАСИЛІВКА;UA01040070010033033;С;Василівка
0120781303;С;МАЛИНІВКА;UA01040070020055528;С;Малинівка
0120781304;С;НЕКРАСОВЕ;UA01040070030047836;С;Некрасове
0120781305;С;ПАВЛІВКА;UA01040070040034784;С;Павлівка
0120781306;С;ПРОЛОМ;UA01040070050033996;С;Пролом
0120781307;С;СЄВЕРНЕ;UA01040070060012593;С;Сєверне
0120781900;;ВИШЕНСЬКА/С.ВИШЕННЕ;UA01040090000079381;Н;Вишенська 
0120781901;С;ВИШЕННЕ;UA01040090010029666;С;Вишенне
0120781902;С;БІЛА СКЕЛЯ;UA01040090020073644;С;Біла Скеля
0120781903;С;МИРОНІВКА;UA01040090030082750;С;Миронівка
0120782500;;ЗЕЛЕНОГІРСЬКА/С.ЗЕЛЕНОГІРСЬКЕ;UA01040170000015760;Н;Зеленогірська 
0120782501;С;ЗЕЛЕНОГІРСЬКЕ;UA01040170010099030;С;Зеленогірське
0120782502;С;БАЛКИ;UA01040170020016040;С;Балки
0120782503;С;МІЖГІР'Я;UA01040170030074437;С;Міжгір’я
0120782505;С;НОВОГРИГОРІВКА;UA01040170040064672;С;Новогригорівка
0120782506;С;НОВОКЛЕНОВЕ;UA01040170050072173;С;Новокленове
0120782507;С;ОВРАЖКИ;UA01040170060032396;С;Овражки
0120782508;С;ОЛЕКСАНДРІВКА;UA01040170070071644;С;Олександрівка
0120782509;С;ПАСІЧНЕ;UA01040170080017987;С;Пасічне
0120782510;С;ПЧОЛИНЕ;UA01040170090038370;С;Пчолине
0120782511;С;ЯКОВЛІВКА;UA01040170100036591;С;Яковлівка
0120782700;;ЗЕМЛЯНИЧНЕНСЬКА/С.ЗЕМЛЯНИЧНЕ;UA01040190000020544;Н;Земляничненська 
0120782701;С;ЗЕМЛЯНИЧНЕ;UA01040190010097055;С;Земляничне
0120782702;С;ОЛЕНІВКА;UA01040190020016045;С;Оленівка
0120782703;С;ОПИТНЕ;UA01040190030042848;С;Опитне
0120782704;С;РАДІСНЕ;UA01040190040040090;С;Радісне
0120782705;С;РОДНИКИ;UA01040190050057807;С;Родники
0120782706;С;СИНЬОКАМ'ЯНКА;UA01040190060069233;С;Синьокам’янка
0120782707;С;УЧЕБНЕ;UA01040190070073990;С;Учебне
0120782900;;ЗИБИНСЬКА/С.ЗИБИНИ;UA01040210000036434;Н;Зибинська 
0120782901;С;ЗИБИНИ;UA01040210010038172;С;Зибини
0120782902;С;МЕЛЬНИКИ;UA01040210020028452;С;Мельники
0120783400;;КРИНИЧНЕНСЬКА/С.КРИНИЧНЕ;UA01040350000026880;Н;Криничненська 
0120783401;С;КРИНИЧНЕ;UA01040350010047859;С;Криничне
0120783402;С;АЛЕКСЄЄВКА;UA01040350020012591;С;Алексєєвка
0120783404;С;ГОЛОВАНІВКА;UA01040350030054188;С;Голованівка
0120783405;С;КАРАСІВКА;UA01040350040061641;С;Карасівка
0120783406;С;КИРПИЧНЕ;UA01040350050029903;С;Кирпичне
0120783407;С;КРАСНОСЕЛІВКА;UA01040350060024585;С;Красноселівка
0120783409;С;ЯБЛУЧНЕ;UA01040350070019046;С;Яблучне
0120783600;;КРИМСЬКОРОЗІВСЬКА/С.КРИМСЬКА РОЗА;UA01040330000019963;Н;Кримськорозівська 
0120783601;С;КРИМСЬКА РОЗА;UA01040330010069516;С;Кримська Роза
0120783603;С;ВИШНЕВЕ;UA01040330020085307;С;Вишневе
0120783800;;КУРСЬКА/С.КУРСЬКЕ;UA01040370000093220;Н;Курська 
0120783801;С;КУРСЬКЕ;UA01040370010050684;С;Курське
0120783802;С;ТОПОЛІВКА;UA01040370020068344;С;Тополівка
0120784200;;МЕЛЬНИЧНА/С.МЕЛЬНИЧНЕ;UA01040410000039649;Н;Мельнична 
0120784201;С;МЕЛЬНИЧНЕ;UA01040410010042512;С;Мельничне
0120784202;С;УДАРНЕ;UA01040410020013630;С;Бочала
